offset,result,steps,price
0.5,SUCCESS,0,1001.29
0.75,SUCCESS,2,1001.29
1.0,SUCCESS,0,1001.29
0.35,SUCCESS,1,1001.29
0.4,SUCCESS,0,1001.29
0.45,SUCCESS,2,1001.29
0.5,SUCCESS,1,1001.29
0.75,SUCCESS,1,1001.29
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1001.59
0.4,SUCCESS,0,1001.59
0.45,SUCCESS,2,1001.59
0.5,SUCCESS,2,1001.59
0.75,SUCCESS,1,1001.59
1.0,SUCCESS,1,1001.59
0.35,SUCCESS,0,1001.59
0.4,SUCCESS,1,1001.59
0.45,SUCCESS,0,1001.59
0.5,SUCCESS,1,1001.59
0.75,SUCCESS,1,1001.59
1.0,SUCCESS,0,1001.59
0.35,SUCCESS,1,1001.59
0.4,TIMEOUT,51,
0.45,SUCCESS,0,1001.79
0.5,SUCCESS,1,1001.79
0.75,SUCCESS,0,1001.79
1.0,SUCCESS,6,1001.79
0.35,SUCCESS,1,1001.79
0.4,SUCCESS,1,1001.79
0.45,SUCCESS,1,1001.79
0.5,SUCCESS,2,1001.79
0.75,TIMEOUT,51,
1.0,SUCCESS,3,1001.89
0.35,SUCCESS,0,1001.89
0.4,SUCCESS,0,1001.89
0.45,SUCCESS,0,1001.89
0.5,SUCCESS,1,1001.89
0.75,SUCCESS,2,1001.89
1.0,TIMEOUT,51,
0.35,SUCCESS,1,1001.99
0.4,SUCCESS,5,1001.99
0.45,SUCCESS,4,1001.99
0.5,SUCCESS,2,1001.99
0.75,SUCCESS,2,1001.99
1.0,SUCCESS,5,1001.99
0.35,SUCCESS,1,1001.99
0.4,SUCCESS,0,1001.99
0.45,SUCCESS,0,1001.99
0.5,SUCCESS,7,1001.99
0.75,SUCCESS,0,1001.99
1.0,SUCCESS,6,1001.99
0.35,SUCCESS,0,1001.99
0.4,SUCCESS,1,1001.99
0.45,SUCCESS,0,1001.99
0.5,SUCCESS,0,1001.99
0.75,SUCCESS,1,1001.99
1.0,SUCCESS,2,1001.99
0.35,SUCCESS,2,1001.99
0.4,SUCCESS,3,1001.99
0.45,SUCCESS,2,1001.99
0.5,SUCCESS,3,1001.99
0.75,SUCCESS,0,1001.99
1.0,TIMEOUT,51,
0.35,SUCCESS,3,1002.09
0.4,TIMEOUT,51,
0.45,SUCCESS,2,1002.19
0.5,SUCCESS,4,1002.19
0.75,TIMEOUT,51,
1.0,SUCCESS,1,1002.39
0.35,SUCCESS,0,1002.39
0.4,SUCCESS,1,1002.39
0.45,SUCCESS,1,1002.39
0.5,SUCCESS,0,1002.39
0.75,SUCCESS,0,1002.39
1.0,SUCCESS,0,1002.39
0.35,SUCCESS,1,1002.39
0.4,SUCCESS,0,1002.39
0.45,SUCCESS,1,1002.39
0.5,TIMEOUT,51,
0.75,SUCCESS,0,1002.59
1.0,SUCCESS,1,1002.59
0.35,SUCCESS,2,1002.59
0.4,SUCCESS,1,1002.59
0.45,TIMEOUT,51,
0.5,SUCCESS,5,1002.79
0.75,SUCCESS,1,1002.79
1.0,SUCCESS,2,1002.79
0.35,SUCCESS,3,1002.79
0.4,SUCCESS,0,1002.79
0.45,SUCCESS,2,1002.79
0.5,SUCCESS,1,1002.79
0.75,SUCCESS,0,1002.79
1.0,TIMEOUT,51,
0.35,SUCCESS,1,1002.99
0.4,SUCCESS,3,1002.99
0.45,SUCCESS,0,1002.99
0.5,SUCCESS,3,1002.99
0.75,SUCCESS,0,1002.99
1.0,SUCCESS,5,1002.99
0.35,SUCCESS,2,1002.99
0.4,SUCCESS,0,1002.99
0.45,SUCCESS,1,1002.99
0.5,SUCCESS,0,1002.99
0.75,TIMEOUT,51,
1.0,SUCCESS,2,1003.09
0.35,SUCCESS,1,1003.09
0.4,SUCCESS,1,1003.09
0.45,SUCCESS,0,1003.09
0.5,SUCCESS,1,1003.09
0.75,SUCCESS,0,1003.09
1.0,SUCCESS,1,1003.09
0.35,TIMEOUT,51,
0.4,SUCCESS,3,1003.19
0.45,SUCCESS,0,1003.19
0.5,SUCCESS,2,1003.19
0.75,SUCCESS,0,1003.19
1.0,SUCCESS,2,1003.19
0.35,SUCCESS,2,1003.19
0.4,SUCCESS,2,1003.19
0.45,SUCCESS,0,1003.19
0.5,SUCCESS,0,1003.19
0.75,SUCCESS,1,1003.19
1.0,SUCCESS,0,1003.19
0.35,SUCCESS,0,1003.19
0.4,SUCCESS,1,1003.19
0.45,TIMEOUT,51,
0.5,SUCCESS,1,1003.29
0.75,SUCCESS,0,1003.29
1.0,SUCCESS,0,1003.29
0.35,SUCCESS,0,1003.29
0.4,SUCCESS,1,1003.29
0.45,TIMEOUT,51,
0.5,SUCCESS,0,1003.49
0.75,SUCCESS,1,1003.49
1.0,SUCCESS,0,1003.49
0.35,SUCCESS,5,1003.49
0.4,SUCCESS,2,1003.49
0.45,SUCCESS,3,1003.49
0.5,SUCCESS,0,1003.49
0.75,SUCCESS,0,1003.49
1.0,SUCCESS,2,1003.49
0.35,SUCCESS,1,1003.49
0.4,SUCCESS,2,1003.49
0.45,SUCCESS,1,1003.49
0.5,SUCCESS,3,1003.49
0.75,SUCCESS,1,1003.49
1.0,SUCCESS,1,1003.49
0.35,SUCCESS,2,1003.49
0.4,TIMEOUT,51,
0.45,SUCCESS,4,1003.59
0.5,SUCCESS,2,1003.59
0.75,SUCCESS,3,1003.59
1.0,SUCCESS,0,1003.59
0.35,SUCCESS,1,1003.59
0.4,SUCCESS,0,1003.59
0.45,SUCCESS,1,1003.59
0.5,SUCCESS,4,1003.59
0.75,SUCCESS,0,1003.59
1.0,SUCCESS,1,1003.59
0.35,SUCCESS,0,1003.59
0.4,SUCCESS,0,1003.59
0.45,SUCCESS,0,1003.59
0.5,SUCCESS,0,1003.59
0.75,SUCCESS,2,1003.59
1.0,TIMEOUT,51,
0.35,SUCCESS,4,1003.69
0.4,SUCCESS,1,1003.69
0.45,SUCCESS,1,1003.69
0.5,SUCCESS,1,1003.69
0.75,SUCCESS,3,1003.69
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1004.39
0.4,SUCCESS,2,1004.39
0.45,SUCCESS,0,1004.39
0.5,SUCCESS,1,1004.39
0.75,SUCCESS,3,1004.39
1.0,SUCCESS,2,1004.39
0.35,SUCCESS,0,1004.39
0.4,SUCCESS,2,1004.39
0.45,SUCCESS,2,1004.39
0.5,SUCCESS,0,1004.39
0.75,SUCCESS,2,1004.39
1.0,SUCCESS,0,1004.39
0.35,SUCCESS,1,1004.39
0.4,SUCCESS,0,1004.39
0.45,SUCCESS,0,1004.39
0.5,TIMEOUT,51,
0.75,SUCCESS,2,1004.49
1.0,SUCCESS,2,1004.49
0.35,SUCCESS,0,1004.49
0.4,SUCCESS,1,1004.49
0.45,SUCCESS,1,1004.49
0.5,SUCCESS,0,1004.49
0.75,SUCCESS,3,1004.49
1.0,SUCCESS,0,1004.49
0.35,SUCCESS,1,1004.49
0.4,SUCCESS,0,1004.49
0.45,SUCCESS,3,1004.49
0.5,SUCCESS,5,1004.49
0.75,TIMEOUT,51,
1.0,SUCCESS,0,1004.59
0.35,SUCCESS,0,1004.59
0.4,SUCCESS,2,1004.59
0.45,SUCCESS,3,1004.59
0.5,SUCCESS,4,1004.59
0.75,SUCCESS,4,1004.59
1.0,SUCCESS,0,1004.59
0.35,SUCCESS,1,1004.59
0.4,TIMEOUT,51,
0.45,SUCCESS,0,1005.29
0.5,SUCCESS,3,1005.29
0.75,SUCCESS,2,1005.29
1.0,SUCCESS,0,1005.29
0.35,SUCCESS,0,1005.29
0.4,SUCCESS,3,1005.29
0.45,SUCCESS,0,1005.29
0.5,SUCCESS,3,1005.29
0.75,SUCCESS,0,1005.29
1.0,SUCCESS,0,1005.29
0.35,SUCCESS,1,1005.29
0.4,SUCCESS,0,1005.29
0.45,SUCCESS,7,1005.29
0.5,TIMEOUT,51,
0.75,SUCCESS,0,1005.89
1.0,SUCCESS,1,1005.89
0.35,SUCCESS,2,1005.89
0.4,SUCCESS,2,1005.89
0.45,SUCCESS,1,1005.89
0.5,SUCCESS,3,1005.89
0.75,SUCCESS,0,1005.89
1.0,SUCCESS,1,1005.89
0.35,SUCCESS,0,1005.89
0.4,SUCCESS,3,1005.89
0.45,SUCCESS,0,1005.89
0.5,TIMEOUT,51,
0.75,SUCCESS,1,1005.99
1.0,SUCCESS,1,1005.99
0.35,SUCCESS,0,1005.99
0.4,SUCCESS,1,1005.99
0.45,SUCCESS,1,1005.99
0.5,SUCCESS,2,1005.99
0.75,SUCCESS,2,1005.99
1.0,SUCCESS,5,1005.99
0.35,SUCCESS,0,1005.99
0.4,SUCCESS,1,1005.99
0.45,SUCCESS,2,1005.99
0.5,SUCCESS,0,1005.99
0.75,SUCCESS,0,1005.99
1.0,SUCCESS,0,1005.99
0.35,TIMEOUT,51,
0.4,SUCCESS,0,1006.29
0.45,SUCCESS,0,1006.29
0.5,SUCCESS,3,1006.29
0.75,SUCCESS,0,1006.29
1.0,SUCCESS,0,1006.29
0.35,SUCCESS,0,1006.29
0.4,SUCCESS,5,1006.29
0.45,SUCCESS,1,1006.29
0.5,SUCCESS,4,1006.29
0.75,TIMEOUT,51,
1.0,SUCCESS,2,1006.39
0.35,SUCCESS,2,1006.39
0.4,SUCCESS,0,1006.39
0.45,SUCCESS,2,1006.39
0.5,SUCCESS,0,1006.39
0.75,SUCCESS,2,1006.39
1.0,SUCCESS,2,1006.39
0.35,TIMEOUT,51,
0.4,SUCCESS,1,1006.79
0.45,SUCCESS,1,1006.79
0.5,SUCCESS,1,1006.79
0.75,SUCCESS,4,1006.79
1.0,TIMEOUT,51,
0.35,SUCCESS,2,1006.89
0.4,SUCCESS,0,1006.89
0.45,SUCCESS,1,1006.89
0.5,SUCCESS,0,1006.89
0.75,SUCCESS,1,1006.89
1.0,SUCCESS,1,1006.89
0.35,SUCCESS,0,1006.89
0.4,SUCCESS,0,1006.89
0.45,SUCCESS,5,1006.89
0.5,SUCCESS,1,1006.89
0.75,SUCCESS,0,1006.89
1.0,SUCCESS,4,1006.89
0.35,SUCCESS,1,1006.89
0.4,SUCCESS,1,1006.89
0.45,SUCCESS,1,1006.89
0.5,SUCCESS,1,1006.89
0.75,SUCCESS,1,1006.89
1.0,SUCCESS,2,1006.89
