offset,result,steps,price
0.25,SUCCESS,0,1001.59
0.0,SUCCESS,5,1001.6
0.01,SUCCESS,0,1001.61
0.05,SUCCESS,1,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,1,1001.69
0.25,SUCCESS,1,1001.69
0.0,SUCCESS,5,1001.6
0.01,SUCCESS,1,1001.61
0.05,SUCCESS,4,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,4,1001.69
0.25,SUCCESS,1,1001.69
0.0,SUCCESS,7,1001.6
0.01,SUCCESS,0,1001.61
0.05,SUCCESS,2,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,2,1001.69
0.0,SUCCESS,18,1001.6
0.01,SUCCESS,0,1001.61
0.05,SUCCESS,0,1001.65
0.1,SUCCESS,2,1001.69
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,2,1001.69
0.0,SUCCESS,18,1001.6
0.01,SUCCESS,0,1001.61
0.05,SUCCESS,2,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,2,1001.69
0.25,SUCCESS,0,1001.69
0.0,SUCCESS,24,1001.6
0.01,SUCCESS,2,1001.61
0.05,SUCCESS,2,1001.65
0.1,SUCCESS,2,1001.69
0.12,SUCCESS,2,1001.69
0.25,SUCCESS,0,1001.69
0.0,SUCCESS,41,1001.6
0.01,SUCCESS,3,1001.61
0.05,SUCCESS,0,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,3,1001.69
0.25,TIMEOUT,51,
0.0,SUCCESS,19,1001.7
0.01,SUCCESS,1,1001.71
0.05,SUCCESS,0,1001.75
0.1,SUCCESS,0,1001.79
0.12,SUCCESS,0,1001.79
0.25,SUCCESS,1,1001.79
0.0,SUCCESS,15,1001.7
0.01,SUCCESS,1,1001.71
0.05,SUCCESS,0,1001.75
0.1,SUCCESS,0,1001.79
0.12,SUCCESS,1,1001.79
0.25,SUCCESS,1,1001.79
0.0,SUCCESS,19,1001.7
0.01,SUCCESS,1,1001.71
0.05,SUCCESS,0,1001.75
0.1,SUCCESS,1,1001.79
0.12,SUCCESS,0,1001.79
0.25,SUCCESS,0,1001.79
0.0,SUCCESS,15,1001.7
0.01,SUCCESS,0,1001.71
0.05,SUCCESS,2,1001.75
0.1,SUCCESS,1,1001.79
0.12,SUCCESS,4,1001.79
0.25,SUCCESS,1,1001.79
0.0,SUCCESS,18,1001.7
0.01,SUCCESS,0,1001.71
0.05,SUCCESS,1,1001.75
0.1,SUCCESS,0,1001.79
0.12,SUCCESS,0,1001.79
0.25,SUCCESS,2,1001.79
0.0,SUCCESS,20,1001.7
0.01,SUCCESS,3,1001.71
0.05,SUCCESS,1,1001.75
0.1,SUCCESS,2,1001.79
0.12,SUCCESS,5,1001.79
0.25,SUCCESS,0,1001.79
0.0,SUCCESS,23,1001.7
0.01,SUCCESS,1,1001.71
0.05,SUCCESS,0,1001.75
0.1,SUCCESS,1,1001.79
0.12,SUCCESS,2,1001.79
0.25,SUCCESS,1,1001.79
0.0,SUCCESS,22,1001.7
0.01,SUCCESS,0,1001.71
0.05,SUCCESS,3,1001.75
0.1,SUCCESS,0,1001.79
0.12,SUCCESS,3,1001.79
0.25,SUCCESS,3,1001.79
0.0,SUCCESS,12,1001.7
0.01,SUCCESS,2,1001.71
